2025-10-21 15:36:51.074 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 15900 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-10-21 15:40:54.251 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-10-21 15:40:54.458 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2025-10-21 15:40:54.460 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 2176 ms
2025-10-21 15:40:56.181 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2025-10-21 15:40:56.196 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener:136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-10-21 16:18:28.342 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 20000 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-10-21 16:18:28.347 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:632 - No active profile set, falling back to 1 default profile: "default"
2025-10-21 16:18:29.430 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-10-21 16:18:29.434 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-10-21 16:18:29.471 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2025-10-21 16:18:29.851 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=7d4df71e-1fd3-3ec4-ac84-c1362f9b7a60
2025-10-21 16:18:30.301 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2025-10-21 16:18:30.302 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-10-21 16:18:30.302 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-10-21 16:18:30.302 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-10-21 16:18:30.309 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2025-10-21 16:18:30.317 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8082"]
2025-10-21 16:18:30.319 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2025-10-21 16:18:30.319 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-10-21 16:18:30.531 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2025-10-21 16:18:30.531 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 2131 ms
2025-10-21 16:18:32.534 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2025-10-21 16:18:32.549 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener:136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
